ticket,pclass,fare,cabin
364846,3,7.75,
364858,3,7.75,
A./5. 2152,3,8.05,
2689,3,14.4583,
2689,3,14.4583,
350042,3,7.7958,
350409,3,7.8542,
367231,3,7.75,
368364,3,7.75,
392095,3,7.25,
343275,3,8.05,
A/5. 13032,3,7.7333,
1601,3,56.4958,
343276,3,8.05,
2680,3,14.4542,
2680,3,14.4542,
SOTON/O.Q. 3101307,3,7.05,
A/5 3540,3,8.05,
371109,3,7.25,
349210,3,7.4958,
349209,3,7.4958,
21332,3,7.7333,
335097,3,7.75,
370373,3,7.75,
330972,3,7.6292,
370369,3,7.75,
A/5 3536,3,8.05,
349230,3,7.8958,
349229,3,7.8958,
349231,3,7.8958,
SOTON/OQ 392090,3,8.05,
C.A. 37671,3,15.9,
C.A. 37671,3,15.9,
C.A. 37671,3,15.9,
364500,3,7.25,
S.P. 3464,3,8.1583,
371362,3,16.1,
371362,3,16.1,
315090,3,8.6625,
2698,3,7.225,
7598,3,8.05,
7552,3,10.5167,
349228,3,10.1708,
382650,3,6.95,
382651,3,7.75,
347080,3,14.4,
347080,3,14.4,
347080,3,14.4,
349219,3,7.8958,
349203,3,7.8958,
A/4 48871,3,24.15,
SC/A4 23568,3,8.05,
A/4 48871,3,24.15,
A/4 48873,3,8.05,
386525,3,16.1,
386525,3,16.1,
345572,3,17.4,
345572,3,17.4,
345774,3,9.5,
345778,3,9.5,
C.A. 2315,3,20.575,
C.A. 2315,3,20.575,
C.A. 2315,3,20.575,
C.A. 2315,3,20.575,
349250,3,7.8958,
349238,3,7.8958,
349225,3,7.8958,
A/5 21172,3,7.25,
A/5 21175,3,7.25,
330958,3,7.8792,
349232,3,7.8958,
315088,3,8.6625,
349226,3,7.8958,
2686,3,7.2292,
370376,3,7.75,
A/5. 10482,3,8.05,
364516,3,12.475,
368702,3,7.75,
SOTON/OQ 392083,3,8.05,
349241,3,7.8958,
336439,3,7.75,
S.O./P.P. 752,3,7.55,
347072,3,13.9,
347072,3,13.9,
349912,3,7.775,
347074,3,7.775,
347061,3,6.975,
2674,3,7.225,
2675,3,7.2292,
2690,3,7.2292,
2695,3,7.2292,
A/5 3902,3,7.25,
364516,3,12.475,
2631,3,7.225,
C.A. 6212,3,15.1,
367232,3,7.75,
SOTON/O.Q. 3101308,3,7.05,
350036,3,7.7958,
364859,3,7.75,
364851,3,7.75,
368323,3,6.95,
330910,3,7.8792,
365235,3,7.75,
1601,3,56.4958,
W./C. 6608,3,34.375,
W./C. 6608,3,34.375,
A/5 1478,3,8.05,
W./C. 6608,3,34.375,
W./C. 6608,3,34.375,
W./C. 6608,3,34.375,
368573,3,7.75,
SOTON/O.Q. 3101314,3,7.25,
36864,3,7.7417,
358585,3,14.5,
349254,3,7.8958,
14973,3,8.05,
35851,3,7.7333,
335677,3,7.75,
363291,3,20.525,
363291,3,20.525,
SOTON/O.Q. 3101263,3,7.85,
363291,3,20.525,
SOTON/O.Q. 3101306,3,7.05,
CA 2144,3,46.9,
CA 2144,3,46.9,
CA 2144,3,46.9,
CA 2144,3,46.9,
CA 2144,3,46.9,
CA 2144,3,46.9,
CA 2144,3,46.9,
CA 2144,3,46.9,
21440,3,8.05,
8471,3,8.3625,
376563,3,8.05,
7534,3,9.8458,
3101276,3,7.925,
3101277,3,7.925,
347069,3,7.775,
349236,3,8.85,
AQ/3. 30631,3,7.7333,
65303,3,19.9667,
65304,3,19.9667,
STON/O2. 3101279,3,15.85,
STON/O2. 3101279,3,15.85,
345769,3,9.5,
2693,3,7.2292,
350026,3,14.1083,
350025,3,7.8542,
350029,3,7.8542,
350026,3,14.1083,
W./C. 6609,3,7.55,
374887,3,7.25,
394140,3,6.8583,
2699,3,18.7875,
370375,3,7.75,
347089,3,6.975,
1601,3,56.4958,
365226,3,6.75,
STON/O2. 3101282,3,7.925,
STON/O2. 3101290,3,7.925,
7548,3,8.9625,
349243,3,7.8958,
347086,3,7.775,
382649,3,7.75,
3101298,3,12.2875,
3101298,3,12.2875,
C 7075,3,6.45,
C 4001,3,22.525,
STON/O2. 3101283,3,7.925,
370377,3,7.75,
A. 2. 39186,3,8.05,
348121,3,7.65,F G63
3470,3,7.8875,
2685,3,7.2292,
349220,3,7.8958,
STON/O2. 3101270,3,7.925,
STON/O2. 3101271,3,7.925,
349201,3,7.8958,
349240,3,7.8958,
350034,3,7.7958,
SOTON/O.Q. 3101305,3,7.05,
350050,3,7.8542,
350047,3,7.8542,
350048,3,7.0542,
14313,3,7.75,
65306,3,8.1125,
3101264,3,6.4958,
347070,3,7.775,
350052,3,7.7958,
7540,3,8.6542,
347063,3,7.775,
347467,3,7.8542,
347742,3,11.1333,
347742,3,11.1333,
LINE,3,0.0,
347062,3,7.775,
LINE,3,0.0,
347742,3,11.1333,
W./C. 6607,3,23.45,
W./C. 6607,3,23.45,
W./C. 6607,3,23.45,
W./C. 6607,3,23.45,
349204,3,7.8958,
350417,3,7.8542,
350408,3,7.8542,
4136,3,9.825,
4137,3,9.825,
STON/O 2. 3101286,3,7.925,
STON/O 2. 3101274,3,7.125,
8475,3,8.4333,
349246,3,7.8958,
350053,3,7.7958,
347465,3,7.8542,
350060,3,7.5208,
349256,3,13.4167,
349256,3,13.4167,
2700,3,7.2292,
2682,3,7.2292,
12460,3,7.75,
323592,3,7.25,
9234,3,7.75,
14312,3,7.75,
330911,3,7.8292,
363592,3,8.05,
368783,3,7.75,
2660,3,14.4542,
2660,3,14.4542,
367227,3,7.75,
367229,3,7.75,
36865,3,7.7375,
315152,3,8.6625,
315151,3,8.6625,
315153,3,22.025,
315153,3,22.025,
315153,3,22.025,
350405,3,12.1833,
350404,3,7.8542,
350405,3,12.1833,
349253,3,7.8958,
2654,3,7.2292,F E57
2624,3,7.225,
4135,3,9.5875,
349217,3,7.8958,
1601,3,56.4958,
1601,3,56.4958,
C 7077,3,7.25,
7935,3,7.75,
1601,3,56.4958,
7545,3,9.4833,
347067,3,7.775,
347065,3,7.775,
2620,3,7.225,
4133,3,25.4667,
4133,3,25.4667,
4133,3,25.4667,
4133,3,25.4667,
4133,3,25.4667,
STON/O 2. 3101292,3,7.925,
2683,3,6.4375,
370371,3,15.5,
370371,3,15.5,
LINE,3,0.0,
A/4 48871,3,24.15,
345781,3,9.5,
347071,3,7.775,
347073,3,7.75,
349910,3,15.55,
349910,3,15.55,
STON/O 2. 3101285,3,7.925,
330971,3,7.8792,
1601,3,56.4958,
S.O./P.P. 251,3,7.55,
A/5. 3336,3,16.1,
A/5. 3336,3,16.1,
1222,3,7.8792,
A/5 21173,3,7.25,
315098,3,8.6625,
347743,3,7.0542,
347469,3,7.8542,
350403,3,7.5792,
349235,3,7.8958,
C.A. 42795,3,7.55,
370370,3,7.75,
C 17369,3,7.1417,
STON/O 2. 3101275,3,7.125,
330924,3,7.8792,
AQ/4 3130,3,7.75,
A/S 2816,3,8.05,
STON/O 2. 3101268,3,7.925,
2677,3,7.2292,
364850,3,7.75,
36866,3,7.7375,
2655,3,7.2292,F E46
349213,3,7.8958,
349257,3,7.8958,
2649,3,7.225,
349255,3,7.8958,
383123,3,7.75,
367228,3,7.75,
367226,3,23.25,
367226,3,23.25,
367226,3,23.25,
330932,3,7.7875,
36568,3,15.5,
330931,3,7.8792,
330923,3,8.0292,
9232,3,7.75,
370372,3,7.75,
376566,3,16.1,
376566,3,16.1,
370368,3,7.75,
SOTON/O.Q. 392087,3,8.05,
343095,3,8.05,
A.5. 11206,3,8.05,
368703,3,7.75,
345501,3,7.775,
359306,3,8.05,
349233,3,7.8958,
349211,3,7.8958,
349207,3,7.8958,
349221,3,7.8958,
330980,3,7.8792,
348123,3,7.65,F G73
392096,3,12.475,E121
392096,3,12.475,E121
A4. 54510,3,8.05,
371110,3,24.15,
371110,3,24.15,
330877,3,8.4583,
364506,3,8.05,
372622,3,7.75,
312991,3,7.775,
2661,3,15.2458,
2661,3,15.2458,
2661,3,15.2458,
2626,3,7.2292,
374746,3,8.05,
35852,3,7.7333,
382653,3,7.75,
A./5. 3235,3,8.05,
367230,3,15.5,
367230,3,15.5,
36568,3,15.5,
347078,3,7.75,
349206,3,7.8958,
2667,3,7.225,
2653,3,15.7417,
2653,3,15.7417,
2653,3,15.7417,
A./5. 3338,3,8.05,
349218,3,7.8958,
2652,3,7.2292,
365237,3,7.75,
349234,3,7.8958,
2651,3,11.2417,
2651,3,11.2417,
3101297,3,7.925,
363611,3,8.05,
347066,3,7.775,
347470,3,7.8542,
350410,3,7.8542,
SOTON/O2 3101272,3,7.125,
STON/O 2. 3101289,3,7.925,
A/4. 39886,3,7.8,
2697,3,7.2292,
347081,3,7.75,
345364,3,6.2375,
370365,3,15.5,
330979,3,7.8292,
370365,3,15.5,
334912,3,7.7333,
371060,3,7.75,
366713,3,7.75,
7267,3,9.225,
364856,3,7.75,
14311,3,7.75,
330959,3,7.8792,
347085,3,7.775,
368402,3,7.75,
330919,3,7.8292,
C 17368,3,3.1708,
C 4001,3,22.525,
4579,3,8.4042,
Fa 265302,3,7.3125,
350407,3,7.8542,
347464,3,7.8542,
347079,3,7.775,
6563,3,9.225,
315085,3,8.6625,
315096,3,8.6625,
315094,3,8.6625,
7534,3,9.2167,
349244,3,8.6833,
330909,3,7.6292,
349909,3,21.075,
349909,3,21.075,
349909,3,21.075,
349909,3,21.075,
349909,3,21.075,
3101295,3,39.6875,
3101295,3,39.6875,
3101295,3,39.6875,
3101295,3,39.6875,
3101295,3,39.6875,
3101295,3,39.6875,
315097,3,8.6625,
358585,3,14.5,
3411,3,8.7125,
349242,3,7.8958,
SOTON/O.Q. 3101315,3,13.775,
SOTON/O.Q. 3101315,3,13.775,
SOTON/O.Q. 3101315,3,13.775,
343271,3,7.0,
345498,3,7.775,
A/5 2817,3,8.05,
STON/O 2. 3101294,3,7.925,
STON/O 2. 3101291,3,7.925,
A/5 21174,3,7.25,
347083,3,7.775,
2668,3,22.3583,
2668,3,22.3583,F E69
2668,3,22.3583,
330935,3,8.1375,
342441,3,8.05,
349245,3,7.8958,
349212,3,7.8958,
